No.;Time;;time 1;time 2;Delay;;Delay1;Delay2;jitter;;;;;;;;;;;;;;;Source;Destination;Protocol;Length;Info;;;
50;8.194.990;;8.194.990;8.194.990;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
51;8.194.990;;8.194.990;8.194.990;0;;476;476;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
52;8.194.990;;8.194.990;8.195.466;476;;-242;234;476;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
53;8.195.466;;8.195.466;8.195.700;234;;-106;128;234;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
54;8.195.700;;8.195.700;8.195.828;128;;-2;126;128;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
55;8.195.828;;8.195.828;8.195.954;126;;36;162;126;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
56;8.195.954;;8.195.954;8.196.116;162;;-30;132;162;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
57;8.196.116;;8.196.116;8.196.248;132;;109;241;132;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
58;8.196.248;;8.196.248;8.196.489;241;;-16;225;241;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
59;8.196.489;;8.196.489;8.196.714;225;;908;1.133;225;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
60;8.196.714;;8.196.714;8.197.847;1133;;-560;573;1133;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
61;8.197.847;;8.197.847;8.198.420;573;;-573;0;573;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
62;8.198.420;;8.198.420;8.198.420;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
63;8.198.420;;8.198.420;8.198.420;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
64;8.198.420;;8.198.420;8.198.420;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
65;8.198.420;;8.198.420;8.198.420;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
66;8.198.420;;8.198.420;8.198.420;0;;2110;2.110;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
67;8.198.420;;8.198.420;8.200.530;2110;;-2110;0;2110;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
68;8.200.530;;8.200.530;8.200.530;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
